book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
Bet105,mlb,110392,,,,,team_total_runs,team,full_game,False,,4.5,under,,,PHI,CHC,-111.0,0.5260663507109005,0.24425283541315945,eid110392:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110392,,,,,team_total_runs,team,full_game,False,,4.5,under,,,PHI,CHC,-108.0,0.5192307692307693,0.47093023255813954,eid110392:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110392,,,,,team_total_runs,team,full_game,False,,4.5,under,,,PHI,CHC,-110.0,0.5238095238095238,0.5365261531670713,eid110392:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110392,,,,,team_total_runs,team,full_game,False,,8.0,under,,,PHI,CHC,-800.0,0.8888888888888888,0.5123152709359605,eid110392:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110392,,,,,team_total_runs,team,full_game,False,,4.5,over,,,PHI,CHC,-136.0,0.576271186440678,0.26756296247579875,eid110392:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110392,,,,,team_total_runs,team,full_game,False,,4.5,over,,,PHI,CHC,-140.0,0.5833333333333334,0.5290697674418604,eid110392:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110392,,,,,team_total_runs,team,full_game,False,,5.5,over,,,PHI,CHC,121.0,0.45248868778280543,0.4634738468329287,eid110392:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110392,,,,,team_total_runs,team,full_game,False,,2.0,over,,,PHI,CHC,-550.0,0.8461538461538461,0.48768472906403937,eid110392:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,under,,,DET,KC,102.0,0.49504950495049505,0.2333378361708823,eid110438:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,under,,,DET,KC,100.0,0.5,0.4677419354838709,eid110438:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,under,,,DET,KC,102.0,0.49504950495049505,0.4757785467128028,eid110438:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110438,,,,,team_total_runs,team,full_game,False,,8.0,under,,,DET,KC,-1600.0,0.9411764705882353,0.5620608899297425,eid110438:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,over,,,DET,KC,-127.0,0.5594713656387665,0.263702592472591,eid110438:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,over,,,DET,KC,-132.0,0.5689655172413793,0.532258064516129,eid110438:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110438,,,,,team_total_runs,team,full_game,False,,3.5,over,,,DET,KC,-120.0,0.5454545454545454,0.5242214532871973,eid110438:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110438,,,,,team_total_runs,team,full_game,False,,2.0,over,,,DET,KC,-275.0,0.7333333333333333,0.43793911007025765,eid110438:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110471,,,,,team_total_runs,team,full_game,False,,3.5,under,,,CWS,TB,-119.0,0.54337899543379,0.27250482460595205,eid110471:bt4:ptNone:pregame,,,,,,market_only
