event_id,market_group_key,market_family,scope,segment,participant,team_name,line,milestone_value,book,selection,price_american,fair_prob,model_prob,edge_pct_points
33984819,33984819|player|full_game|hits_milestones|samuel_basallo|ou_or_side|,hits_milestones,player,full_game,Samuel Basallo,nan,,,DraftKings,1+,-238.0,0.634073327746642,,
33984819,33984819|player|full_game|hits_milestones|samuel_basallo|ou_or_side|,hits_milestones,player,full_game,Samuel Basallo,nan,,,DraftKings,2+,230.0,0.2728759673775974,,
33984819,33984819|player|full_game|hits_milestones|samuel_basallo|ou_or_side|,hits_milestones,player,full_game,Samuel Basallo,nan,,,DraftKings,3+,1100.0,0.07504089102883928,,
33984819,33984819|player|full_game|hits_milestones|samuel_basallo|ou_or_side|,hits_milestones,player,full_game,Samuel Basallo,nan,,,DraftKings,4+,4900.0,0.01800981384692143,,
33984819,33984819|player|full_game|hits_milestones|taylor_ward|ou_or_side|,hits_milestones,player,full_game,Taylor Ward,nan,,,DraftKings,1+,-201.0,0.6656599652188891,,
33984819,33984819|player|full_game|hits_milestones|taylor_ward|ou_or_side|,hits_milestones,player,full_game,Taylor Ward,nan,,,DraftKings,2+,276.0,0.26511544608193816,,
33984819,33984819|player|full_game|hits_milestones|taylor_ward|ou_or_side|,hits_milestones,player,full_game,Taylor Ward,nan,,,DraftKings,3+,1340.0,0.06922458869917275,,
33984819,33984819|player|full_game|hits_milestones|tim_tawa|ou_or_side|,hits_milestones,player,full_game,Tim Tawa,nan,,,DraftKings,1+,-151.0,0.6962643201657158,,
33984819,33984819|player|full_game|hits_milestones|tim_tawa|ou_or_side|,hits_milestones,player,full_game,Tim Tawa,nan,,,DraftKings,2+,373.0,0.24468636764290871,,
33984819,33984819|player|full_game|hits_milestones|tim_tawa|ou_or_side|,hits_milestones,player,full_game,Tim Tawa,nan,,,DraftKings,3+,1860.0,0.059049312191375415,,
33984819,33984819|player|full_game|home_runs_milestones|coby_mayo|ou_or_side|,home_runs_milestones,player,full_game,Coby Mayo,nan,,,DraftKings,1+,820.0,0.9133709981167608,,
33984819,33984819|player|full_game|home_runs_milestones|coby_mayo|ou_or_side|,home_runs_milestones,player,full_game,Coby Mayo,nan,,,DraftKings,2+,9600.0,0.08662900188323917,,
33984819,33984819|player|full_game|home_runs_milestones|colton_cowser|ou_or_side|,home_runs_milestones,player,full_game,Colton Cowser,nan,,,DraftKings,1+,585.0,0.9108653220559532,,
33984819,33984819|player|full_game|home_runs_milestones|colton_cowser|ou_or_side|,home_runs_milestones,player,full_game,Colton Cowser,nan,,,DraftKings,2+,6900.0,0.08913467794404685,,
33984819,33984819|player|full_game|home_runs_milestones|corbin_carroll|ou_or_side|,home_runs_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,1+,585.0,0.8943716268311488,,
33984819,33984819|player|full_game|home_runs_milestones|corbin_carroll|ou_or_side|,home_runs_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,2+,5700.0,0.1056283731688512,,
33984819,33984819|player|full_game|home_runs_milestones|dylan_beavers|ou_or_side|,home_runs_milestones,player,full_game,Dylan Beavers,nan,,,DraftKings,1+,760.0,0.9040178571428572,,
33984819,33984819|player|full_game|home_runs_milestones|dylan_beavers|ou_or_side|,home_runs_milestones,player,full_game,Dylan Beavers,nan,,,DraftKings,2+,8000.0,0.09598214285714286,,
33984819,33984819|player|full_game|home_runs_milestones|geraldo_perdomo|ou_or_side|,home_runs_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,1+,1260.0,0.881326352530541,,
33984819,33984819|player|full_game|home_runs_milestones|geraldo_perdomo|ou_or_side|,home_runs_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,2+,10000.0,0.11867364746945899,,
33984819,33984819|player|full_game|home_runs_milestones|gunnar_henderson|ou_or_side|,home_runs_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,1+,371.0,0.8897213767267619,,
33984819,33984819|player|full_game|home_runs_milestones|gunnar_henderson|ou_or_side|,home_runs_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,2+,3700.0,0.1102786232732381,,
33984819,33984819|player|full_game|home_runs_milestones|ildemaro_vargas|ou_or_side|,home_runs_milestones,player,full_game,Ildemaro Vargas,nan,,,DraftKings,1+,860.0,0.9132007233273056,,
33984819,33984819|player|full_game|home_runs_milestones|ildemaro_vargas|ou_or_side|,home_runs_milestones,player,full_game,Ildemaro Vargas,nan,,,DraftKings,2+,10000.0,0.0867992766726944,,
33984819,33984819|player|full_game|home_runs_milestones|james_mccann|ou_or_side|,home_runs_milestones,player,full_game,James McCann,nan,,,DraftKings,1+,850.0,0.914027149321267,,
33984819,33984819|player|full_game|home_runs_milestones|james_mccann|ou_or_side|,home_runs_milestones,player,full_game,James McCann,nan,,,DraftKings,2+,10000.0,0.08597285067873305,,
33984819,33984819|player|full_game|home_runs_milestones|jeremiah_jackson|ou_or_side|,home_runs_milestones,player,full_game,Jeremiah Jackson,nan,,,DraftKings,1+,770.0,0.9081309398099261,,
33984819,33984819|player|full_game|home_runs_milestones|jeremiah_jackson|ou_or_side|,home_runs_milestones,player,full_game,Jeremiah Jackson,nan,,,DraftKings,2+,8500.0,0.09186906019007392,,
33984819,33984819|player|full_game|home_runs_milestones|jorge_barrosa|ou_or_side|,home_runs_milestones,player,full_game,Jorge Barrosa,nan,,,DraftKings,1+,1380.0,,,
33984819,33984819|player|full_game|home_runs_milestones|jose_fernandez|ou_or_side|,home_runs_milestones,player,full_game,Jose Fernandez,nan,,,DraftKings,1+,840.0,0.9063745019920318,,
33984819,33984819|player|full_game|home_runs_milestones|jose_fernandez|ou_or_side|,home_runs_milestones,player,full_game,Jose Fernandez,nan,,,DraftKings,2+,9000.0,0.09362549800796813,,
33984819,33984819|player|full_game|home_runs_milestones|ketel_marte|ou_or_side|,home_runs_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,1+,374.0,0.8864398658361284,,
33984819,33984819|player|full_game|home_runs_milestones|ketel_marte|ou_or_side|,home_runs_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,2+,3600.0,0.11356013416387159,,
33984819,33984819|player|full_game|home_runs_milestones|leody_taveras|ou_or_side|,home_runs_milestones,player,full_game,Leody Taveras,nan,,,DraftKings,1+,700.0,0.9120879120879121,,
33984819,33984819|player|full_game|home_runs_milestones|leody_taveras|ou_or_side|,home_runs_milestones,player,full_game,Leody Taveras,nan,,,DraftKings,2+,8200.0,0.0879120879120879,,
33984819,33984819|player|full_game|home_runs_milestones|nolan_arenado|ou_or_side|,home_runs_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,1+,680.0,0.9101382488479262,,
33984819,33984819|player|full_game|home_runs_milestones|nolan_arenado|ou_or_side|,home_runs_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,2+,7800.0,0.08986175115207373,,
33984819,33984819|player|full_game|home_runs_milestones|pete_alonso|ou_or_side|,home_runs_milestones,player,full_game,Pete Alonso,nan,,,DraftKings,1+,395.0,0.8873720136518771,,
