sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984835,strikeouts_thrown_milestones,3+,,-2100.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,4+,,-610.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,5+,,-254.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,6+,,-118.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,7+,,172.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,8+,,346.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,9+,,660.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,10+,,1260.0,Bryan Woo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,3+,,-1560.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,4+,,-494.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,5+,,-209.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,6+,,101.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,7+,,204.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,8+,,415.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,9+,,810.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,strikeouts_thrown_milestones,10+,,1540.0,Michael King,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,moneyline,yes,,-131.0,TEX Rangers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,moneyline,yes,,109.0,Athletics,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,spread,yes,-1.5,129.0,TEX Rangers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,spread,yes,1.5,-156.0,Athletics,,,,,DraftKings,2026-04-14T20:34:24Z
